user_id,timestamp,location,device_id,resource_accessed,login_result,session_duration_min,is_anomaly
user_056,2025-06-01 00:00:00,Nottingham,DEV-149,Finance System,success,9,1
user_077,2025-06-01 03:00:00,Glasgow,DEV-026,HR Portal,success,39,1
user_001,2025-06-01 04:00:00,Newcastle,DEV-023,Finance System,success,20,1
user_088,2025-06-01 06:01:00,Aberdeen,DEV-073,Email,success,56,0
user_023,2025-06-01 06:02:00,Aberdeen,DEV-080,CRM,success,114,0
user_032,2025-06-01 06:04:00,Sheffield,DEV-073,HR Portal,success,70,0
user_077,2025-06-01 06:05:00,Glasgow,DEV-026,DevOps Dashboard,success,72,0
user_061,2025-06-01 06:06:00,Reading,DEV-126,CRM,success,6,0
user_056,2025-06-01 06:11:00,Nottingham,DEV-149,CRM,success,93,0
user_059,2025-06-01 06:14:00,Birmingham,DEV-016,CRM,success,39,0
user_076,2025-06-01 06:14:00,Liverpool,DEV-125,HR Portal,success,11,0
user_053,2025-06-01 06:15:00,Birmingham,DEV-146,File Server,success,39,0
user_080,2025-06-01 06:16:00,London,DEV-052,DevOps Dashboard,success,42,0
user_071,2025-06-01 06:18:00,Brighton,DEV-066,Email,success,116,0
user_070,2025-06-01 06:21:00,Birmingham,DEV-001,HR Portal,success,109,0
user_046,2025-06-01 06:24:00,Cardiff,DEV-112,File Server,success,25,0
user_057,2025-06-01 06:26:00,Coventry,DEV-076,HR Portal,success,117,0
user_079,2025-06-01 06:27:00,Coventry,DEV-053,File Server,success,92,0
user_026,2025-06-01 06:28:00,Cardiff,DEV-066,Finance System,success,113,0
user_080,2025-06-01 06:33:00,London,DEV-052,CRM,success,88,0
user_091,2025-06-01 06:34:00,Swansea,DEV-126,File Server,success,64,0
user_058,2025-06-01 06:40:00,Coventry,DEV-134,HR Portal,success,58,0
user_043,2025-06-01 06:40:00,Manchester,DEV-139,Email,success,58,0
user_020,2025-06-01 06:46:00,Manchester,DEV-066,Email,success,108,0
user_005,2025-06-01 06:54:00,Nottingham,DEV-068,File Server,success,52,0
user_011,2025-06-01 06:54:00,Edinburgh,DEV-129,DevOps Dashboard,success,104,0
user_041,2025-06-01 06:57:00,Birmingham,DEV-066,File Server,success,82,0
user_060,2025-06-01 06:57:00,Leicester,DEV-125,Email,success,108,0
user_050,2025-06-01 06:59:00,Sheffield,DEV-107,DevOps Dashboard,success,78,0
user_055,2025-06-01 07:06:00,Manchester,DEV-073,DevOps Dashboard,success,62,0
user_088,2025-06-01 07:14:00,San Francisco,DEV-073,File Server,success,118,1
user_013,2025-06-01 07:20:00,Dundee,DEV-019,HR Portal,success,8,0
user_069,2025-06-01 07:23:00,Coventry,DEV-076,CRM,success,76,0
user_091,2025-06-01 07:23:00,Swansea,DEV-126,Email,success,30,0
