eventTime,userName,userType,eventName,awsRegion,sourceIPAddress,location,deviceType,mfaUsed,loginResult,sessionDuration,resourceAccessed,is_anomaly,anomaly_reason
2025-08-01T17:08:51Z,jenniferboyd,AssumedRole,GetObject,eu-west-2,159.79.175.236,"Birmingham, GB",Tablet,Yes,Success,77,S3,0,
2025-08-01T14:35:06Z,jenniferboyd,AssumedRole,PutObject,us-west-2,59.152.112.241,"Birmingham, GB",Tablet,No,Success,10,DynamoDB,0,
2025-08-01T13:24:13Z,jenniferboyd,AssumedRole,PutObject,eu-west-2,209.4.199.234,"Birmingham, GB",Tablet,Yes,Success,41,S3,0,
2025-08-01T11:39:51Z,jenniferboyd,AssumedRole,DescribeInstances,eu-west-1,164.70.117.35,"Birmingham, GB",Tablet,No,Success,61,DynamoDB,0,
2025-08-02T07:35:45Z,jenniferboyd,AssumedRole,DescribeInstances,us-west-2,188.139.101.234,"Birmingham, GB",Tablet,No,Success,34,RDS,0,
2025-08-02T20:11:35Z,jenniferboyd,AssumedRole,StopInstances,eu-west-2,132.158.153.71,"Birmingham, GB",Tablet,Yes,Success,113,EC2,0,
2025-08-02T18:05:08Z,jenniferboyd,AssumedRole,StartInstances,eu-west-2,79.175.128.122,"Birmingham, GB",Tablet,No,Success,26,S3,0,
2025-08-03T18:13:21Z,jenniferboyd,AssumedRole,ListBuckets,eu-west-1,209.200.200.171,"Birmingham, GB",Tablet,Yes,Success,57,IAM,0,
2025-08-03T07:17:17Z,jenniferboyd,AssumedRole,ListBuckets,us-west-2,197.70.239.207,"Birmingham, GB",Tablet,Yes,Success,112,RDS,0,
2025-08-03T15:04:37Z,jenniferboyd,AssumedRole,PutObject,eu-west-1,185.185.95.211,"Birmingham, GB",Tablet,No,Success,31,EC2,0,
2025-08-03T08:19:09Z,jenniferboyd,AssumedRole,ConsoleLogin,eu-west-2,84.98.51.56,"Birmingham, GB",Tablet,No,Success,63,S3,0,
2025-08-03T12:47:01Z,jenniferboyd,AssumedRole,ListBuckets,eu-west-1,133.128.225.114,"Johannesburg, ZA",Tablet,Yes,Success,35,RDS,1,Unusual location
2025-08-03T19:17:12Z,jenniferboyd,AssumedRole,ListBuckets,eu-west-1,15.134.37.142,"Birmingham, GB",Tablet,Yes,Success,94,RDS,0,
2025-08-04T20:27:37Z,jenniferboyd,AssumedRole,GetObject,eu-west-1,166.228.15.239,"Birmingham, GB",Tablet,No,Success,17,IAM,0,
2025-08-04T18:07:42Z,jenniferboyd,AssumedRole,StopInstances,us-east-1,223.215.14.34,"Birmingham, GB",Tablet,No,Success,66,S3,0,
